cluster;count;top_words;negative_score;sample;negativity_ratio;insight
193;203;['niceee', 'nicee', 'verry', 'super', 'vary', 'really', 'veri'];1;niceee;0.0049261083743842365;niceee / nicee / verry / super / vary / really / veri
254;244;['amazing', 'awesome', 'really', 'wonderful', 'fantastic', 'excellent', 'such'];1;super amazing app;0.004098360655737705;amazing / awesome / really / wonderful / fantastic / excellent / such
160;55;['awesome', 'awsome', 'oops', 'soooo', 'word', 'really', 'ugly'];0;its awesome;0.0;awesome / awsome / oops / soooo / word / really / ugly
132;59;[];0;very good;0.0;
158;70;['brilliant', 'splendid', 'truly', 'genius', 'vvvvvvv', 'exciting', 'ggood'];0;v good;0.0;brilliant / splendid / truly / genius / vvvvvvv / exciting / ggood
152;53;[];0;nice;0.0;
157;70;['best', 'editing', 'application', 'apps', 'magic', 'multipurpose', 'time'];0;best editing app;0.0;best / editing / application / apps / magic / multipurpose / time
156;119;['amazing', 'guess', 'greatttt', 'marvelours', 'thats', 'summary', 'overall'];0;its great;0.0;amazing / guess / greatttt / marvelours / thats / summary / overall
161;118;['niceee', 'meet', 'dream', 'noob', 'friendly', 'here'];0;nice;0.0;niceee / meet / dream / noob / friendly / here
134;79;[];0;good;0.0;
154;133;['easy', 'easily', 'understand', 'accessible', 'simply', 'always', 'useawesome'];0;easy to use;0.0;easy / easily / understand / accessible / simply / always / useawesome
135;51;['perfect'];0;perfect;0.0;perfect
153;136;['best'];0;best app;0.0;best
133;61;[];0;very good;0.0;
136;57;['overall'];0;good;0.0;overall
151;121;['fantastic', 'marvelous', 'awesome', 'simply', 'conva', 'verry', 'terrific'];0;just awesome;0.0;fantastic / marvelous / awesome / simply / conva / verry / terrific
139;73;['okay', 'okey', 'quite', 'fabulous'];0;okey;0.0;okay / okey / quite / fabulous
142;117;[];0;very good;0.0;
141;60;[];0;very good;0.0;
143;100;[];0;good;0.0;
